Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Evaluating kurtosis-based diffusion MRI tissue models for white matter with fiber ball imaging.","/pubmed/28085211","Jensen JH, McKinnon ET, Glenn GR, Helpern JA.","NMR Biomed. 2017 May;30(5). doi: 10.1002/nbm.3689. Epub 2017 Jan 13.","NMR Biomed.  2017","PubMed","citation","PMID:28085211 | PMCID:PMC5867517","pubmed","28085211","create date:2017/01/14 | first author:Jensen JH",
"Regional susceptibility to dose-dependent white matter damage after brain radiotherapy.","/pubmed/28460824","Connor M, Karunamuni R, McDonald C, Seibert T, White N, Moiseenko V, Bartsch H, Farid N, Kuperman J, Krishnan A, Dale A, Hattangadi-Gluth JA.","Radiother Oncol. 2017 May;123(2):209-217. doi: 10.1016/j.radonc.2017.04.006. Epub 2017 May 2.","Radiother Oncol.  2017","PubMed","citation","PMID:28460824 | PMCID:PMC5518466","pubmed","28460824","create date:2017/05/04 | first author:Connor M",
"Structural Network Disorganization in Subjects at Clinical High Risk for Psychosis.","/pubmed/27481826","Schmidt A, Crossley NA, Harrisberger F, Smieskova R, Lenz C, Riecher-Rössler A, Lang UE, McGuire P, Fusar-Poli P, Borgwardt S.","Schizophr Bull. 2017 May 1;43(3):583-591. doi: 10.1093/schbul/sbw110.","Schizophr Bull.  2017","PubMed","citation","PMID:27481826 | PMCID:PMC5464048","pubmed","27481826","create date:2016/08/03 | first author:Schmidt A",
"Vascular Anatomy Predicts the Risk of Cerebral Ischemia in Patients Randomized to Carotid Stenting Versus Endarterectomy.","/pubmed/28400487","Müller MD, Ahlhelm FJ, von Hessling A, Doig D, Nederkoorn PJ, Macdonald S, Lyrer PA, van der Lugt A, Hendrikse J, Stippich C, van der Worp HB, Richards T, Brown MM, Engelter ST, Bonati LH.","Stroke. 2017 May;48(5):1285-1292. doi: 10.1161/STROKEAHA.116.014612. Epub 2017 Apr 11.","Stroke.  2017","PubMed","citation","PMID:28400487","pubmed","28400487","create date:2017/04/13 | first author:Müller MD",
"On a fractional order calculus model in diffusion weighted breast imaging to differentiate between malignant and benign breast lesions detected on X-ray screening mammography.","/pubmed/28453516","Bickelhaupt S, Steudle F, Paech D, Mlynarska A, Kuder TA, Lederer W, Daniel H, Freitag M, Delorme S, Schlemmer HP, Laun FB.","PLoS One. 2017 Apr 28;12(4):e0176077. doi: 10.1371/journal.pone.0176077. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28453516 | PMCID:PMC5409173","pubmed","28453516","create date:2017/04/30 | first author:Bickelhaupt S",
"Post-Surgery Glioma Growth Modeling from Magnetic Resonance Images for Patients with Treatment.","/pubmed/28450707","Elazab A, Bai H, Abdulazeem YM, Abdelhamid T, Zhou S, Wong KKL, Hu Q.","Sci Rep. 2017 Apr 27;7(1):1222. doi: 10.1038/s41598-017-01189-2.","Sci Rep.  2017","PubMed","citation","PMID:28450707 | PMCID:PMC5430870","pubmed","28450707","create date:2017/04/30 | first author:Elazab A",
"Influences of prenatal and postnatal maternal depression on amygdala volume and microstructure in young children.","/pubmed/28440816","Wen DJ, Poh JS, Ni SN, Chong YS, Chen H, Kwek K, Shek LP, Gluckman PD, Fortier MV, Meaney MJ, Qiu A.","Transl Psychiatry. 2017 Apr 25;7(4):e1103. doi: 10.1038/tp.2017.74.","Transl Psychiatry.  2017","PubMed","citation","PMID:28440816 | PMCID:PMC5416711","pubmed","28440816","create date:2017/04/26 | first author:Wen DJ",
"The Apparent Diffusion Coefficient (ADC) as a Potential Marker of Inflammation Associated with Body Abscesses.","/pubmed/28413873","Kawada S, Takahara T, Ichikawa T, Yamamuro H, Nagata Y, Nagata T, Aizawa T, Kwee TC, Mori K, Imai Y.","Tokai J Exp Clin Med. 2017 Apr 20;42(1):58-63.","Tokai J Exp Clin Med.  2017","PubMed","citation","PMID:28413873","pubmed","28413873","create date:2017/04/18 | first author:Kawada S",
"The Effects of Obstructive Sleep Apnea Syndrome on the Dentate Gyrus and Learning and Memory in Children.","/pubmed/28320844","Cha J, Zea-Hernandez JA, Sin S, Graw-Panzer K, Shifteh K, Isasi CR, Wagshul ME, Moran EE, Posner J, Zimmerman ME, Arens R.","J Neurosci. 2017 Apr 19;37(16):4280-4288. doi: 10.1523/JNEUROSCI.3583-16.2017. Epub 2017 Mar 20.","J Neurosci.  2017","PubMed","citation","PMID:28320844 | PMCID:PMC5413176","pubmed","28320844","create date:2017/03/23 | first author:Cha J",
"Synergistic but independent: The role of corticospinal and alternate motor fibers for residual motor output after stroke.","/pubmed/28516034","Schulz R, Park E, Lee J, Chang WH, Lee A, Kim YH, Hummel FC.","Neuroimage Clin. 2017 Apr 19;15:118-124. doi: 10.1016/j.nicl.2017.04.016. eCollection 2017.","Neuroimage Clin.  2017","PubMed","citation","PMID:28516034 | PMCID:PMC5426012","pubmed","28516034","create date:2017/05/19 | first author:Schulz R",
"Survival prediction in Amyotrophic lateral sclerosis based on MRI measures and clinical characteristics.","/pubmed/28412941","Schuster C, Hardiman O, Bede P.","BMC Neurol. 2017 Apr 17;17(1):73. doi: 10.1186/s12883-017-0854-x.","BMC Neurol.  2017","PubMed","citation","PMID:28412941 | PMCID:PMC5393027","pubmed","28412941","create date:2017/04/18 | first author:Schuster C",
"Fourier transform power spectrum is a potential measure of tissue alignment in standard MRI: A multiple sclerosis study.","/pubmed/28414816","Sharma S, Zhang Y.","PLoS One. 2017 Apr 17;12(4):e0175979. doi: 10.1371/journal.pone.0175979. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28414816 | PMCID:PMC5393867","pubmed","28414816","create date:2017/04/18 | first author:Sharma S",
"Measurement of Peripheral Vision Reaction Time Identifies White Matter Disruption in Patients with Mild Traumatic Brain Injury.","/pubmed/27927083","Womack KB, Paliotta C, Strain JF, Ho JS, Skolnick Y, Lytton WW, Turtzo LC, McColl R, Diaz-Arrastia R, Bergold PJ.","J Neurotrauma. 2017 Apr 15;34(8):1539-1545. doi: 10.1089/neu.2016.4670. Epub 2017 Jan 13.","J Neurotrauma.  2017","PubMed","citation","PMID:27927083 | PMCID:PMC5586153","pubmed","27927083","create date:2016/12/09 | first author:Womack KB",
"White matter alterations to cingulum and fornix following very preterm birth and their relationship with cognitive functions.","/pubmed/28216430","Caldinelli C, Froudist-Walsh S, Karolis V, Tseng CE, Allin MP, Walshe M, Cuddy M, Murray RM, Nosarti C.","Neuroimage. 2017 Apr 15;150:373-382. doi: 10.1016/j.neuroimage.2017.02.026. Epub 2017 Feb 12.","Neuroimage.  2017","PubMed","citation","PMID:28216430 | PMCID:PMC5405171","pubmed","28216430","create date:2017/02/22 | first author:Caldinelli C",
"Childhood maltreatment is associated with alteration in global network fiber-tract architecture independent of history of depression and anxiety.","/pubmed/28213111","Ohashi K, Anderson CM, Bolger EA, Khan A, McGreenery CE, Teicher MH.","Neuroimage. 2017 Apr 15;150:50-59. doi: 10.1016/j.neuroimage.2017.02.037. Epub 2017 Feb 16.","Neuroimage.  2017","PubMed","citation","PMID:28213111 | PMCID:PMC5386807","pubmed","28213111","create date:2017/02/19 | first author:Ohashi K",
"Dissociable frontostriatal white matter connectivity underlies reward and motor impulsivity.","/pubmed/28189592","Hampton WH, Alm KH, Venkatraman V, Nugiel T, Olson IR.","Neuroimage. 2017 Apr 15;150:336-343. doi: 10.1016/j.neuroimage.2017.02.021. Epub 2017 Feb 9.","Neuroimage.  2017","PubMed","citation","PMID:28189592 | PMCID:PMC5494201","pubmed","28189592","create date:2017/02/13 | first author:Hampton WH",
"Machine learning based compartment models with permeability for white matter microstructure imaging.","/pubmed/28188915","Nedjati-Gilani GL, Schneider T, Hall MG, Cawley N, Hill I, Ciccarelli O, Drobnjak I, Wheeler-Kingshott CAMG, Alexander DC.","Neuroimage. 2017 Apr 15;150:119-135. doi: 10.1016/j.neuroimage.2017.02.013. Epub 2017 Feb 8.","Neuroimage.  2017","PubMed","citation","PMID:28188915","pubmed","28188915","create date:2017/02/12 | first author:Nedjati-Gilani GL",
"HIgh b-value and high Resolution Integrated Diffusion (HIBRID) imaging.","/pubmed/28188913","Fan Q, Nummenmaa A, Polimeni JR, Witzel T, Huang SY, Wedeen VJ, Rosen BR, Wald LL.","Neuroimage. 2017 Apr 15;150:162-176. doi: 10.1016/j.neuroimage.2017.02.002. Epub 2017 Feb 7.","Neuroimage.  2017","PubMed","citation","PMID:28188913 | PMCID:PMC5501959","pubmed","28188913","create date:2017/02/12 | first author:Fan Q",
"Automatic migraine classification via feature selection committee and machine learning techniques over imaging and questionnaire data.","/pubmed/28407777","Garcia-Chimeno Y, Garcia-Zapirain B, Gomez-Beldarrain M, Fernandez-Ruanova B, Garcia-Monco JC.","BMC Med Inform Decis Mak. 2017 Apr 13;17(1):38. doi: 10.1186/s12911-017-0434-4.","BMC Med Inform Decis Mak.  2017","PubMed","citation","PMID:28407777 | PMCID:PMC5390380","pubmed","28407777","create date:2017/04/15 | first author:Garcia-Chimeno Y",
"The brain anatomy of attention-deficit/hyperactivity disorder in young adults - a magnetic resonance imaging study.","/pubmed/28406942","Gehricke JG, Kruggel F, Thampipop T, Alejo SD, Tatos E, Fallon J, Muftuler LT.","PLoS One. 2017 Apr 13;12(4):e0175433. doi: 10.1371/journal.pone.0175433. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28406942 | PMCID:PMC5391018","pubmed","28406942","create date:2017/04/14 | first author:Gehricke JG",
"Magnetic Resonance Relaxation Anisotropy: Physical Principles and Uses in Microstructure Imaging.","/pubmed/28402893","Knight MJ, Dillon S, Jarutyte L, Kauppinen RA.","Biophys J. 2017 Apr 11;112(7):1517-1528. doi: 10.1016/j.bpj.2017.02.026.","Biophys J.  2017","PubMed","citation","PMID:28402893 | PMCID:PMC5390049","pubmed","28402893","create date:2017/04/14 | first author:Knight MJ",
"Diverging white matter trajectories in children after traumatic brain injury: The RAPBI study.","/pubmed/28298549","Dennis EL, Rashid F, Ellis MU, Babikian T, Vlasova RM, Villalon-Reina JE, Jin Y, Olsen A, Mink R, Babbitt C, Johnson J, Giza CC, Thompson PM, Asarnow RF.","Neurology. 2017 Apr 11;88(15):1392-1399. doi: 10.1212/WNL.0000000000003808. Epub 2017 Mar 15.","Neurology.  2017","PubMed","citation","PMID:28298549 | PMCID:PMC5386434","pubmed","28298549","create date:2017/03/17 | first author:Dennis EL",
"The connectomes of males and females with autism spectrum disorder have significantly different white matter connectivity densities.","/pubmed/28397802","Irimia A, Torgerson CM, Jacokes ZJ, Van Horn JD.","Sci Rep. 2017 Apr 11;7:46401. doi: 10.1038/srep46401.","Sci Rep.  2017","PubMed","citation","PMID:28397802 | PMCID:PMC5387713","pubmed","28397802","create date:2017/04/12 | first author:Irimia A",
"Brain structural investigation and hippocampal tractography in medication overuse headache: a native space analysis.","/pubmed/28390437","Meyer M, Di Scala G, Edde M, Dilharreguy B, Radat F, Allard M, Chanraud S.","Behav Brain Funct. 2017 Apr 8;13(1):6. doi: 10.1186/s12993-017-0124-5.","Behav Brain Funct.  2017","PubMed","citation","PMID:28390437 | PMCID:PMC5385056","pubmed","28390437","create date:2017/04/10 | first author:Meyer M",
"Complex regional pain syndrome: The matter of white matter?","/pubmed/28523214","Hotta J, Zhou G, Harno H, Forss N, Hari R.","Brain Behav. 2017 Apr 5;7(5):e00647. doi: 10.1002/brb3.647. eCollection 2017 May.","Brain Behav.  2017","PubMed","citation","PMID:28523214 | PMCID:PMC5434177","pubmed","28523214","create date:2017/05/20 | first author:Hotta J",
"Image denoising substantially improves accuracy and precision of intravoxel incoherent motion parameter estimates.","/pubmed/28380018","Reischauer C, Gutzeit A.","PLoS One. 2017 Apr 5;12(4):e0175106. doi: 10.1371/journal.pone.0175106. eCollection 2017.","PLoS One.  2017","PubMed","citation","PMID:28380018 | PMCID:PMC5381911","pubmed","28380018","create date:2017/04/06 | first author:Reischauer C",
"Safety and Efficacy of Remote Ischemic Preconditioning in Patients With Severe Carotid Artery Stenosis Before Carotid Artery Stenting: A Proof-of-Concept, Randomized Controlled Trial.","/pubmed/28174194","Zhao W, Meng R, Ma C, Hou B, Jiao L, Zhu F, Wu W, Shi J, Duan Y, Zhang R, Zhang J, Sun Y, Zhang H, Ling F, Wang Y, Feng W, Ding Y, Ovbiagele B, Ji X.","Circulation. 2017 Apr 4;135(14):1325-1335. doi: 10.1161/CIRCULATIONAHA.116.024807. Epub 2017 Feb 7.","Circulation.  2017","PubMed","citation","PMID:28174194 | PMCID:PMC5802341","pubmed","28174194","create date:2017/02/09 | first author:Zhao W",
"Combining Diffusion Tensor Metrics and DSC Perfusion Imaging: Can It Improve the Diagnostic Accuracy in Differentiating Tumefactive Demyelination from High-Grade Glioma?","/pubmed/28209583","Hiremath SB, Muraleedharan A, Kumar S, Nagesh C, Kesavadas C, Abraham M, Kapilamoorthy TR, Thomas B.","AJNR Am J Neuroradiol. 2017 Apr;38(4):685-690. doi: 10.3174/ajnr.A5089. Epub 2017 Feb 16.","AJNR Am J Neuroradiol.  2017","PubMed","citation","PMID:28209583","pubmed","28209583","create date:2017/02/18 | first author:Hiremath SB",
"White Matter Tract Pathology in Pediatric Anoxic Brain Injury from Drowning.","/pubmed/28209580","Ishaque M, Manning JH, Woolsey MD, Franklin CG, Salinas FS, Fox PT.","AJNR Am J Neuroradiol. 2017 Apr;38(4):814-819. doi: 10.3174/ajnr.A5097. Epub 2017 Feb 16.","AJNR Am J Neuroradiol.  2017","PubMed","citation","PMID:28209580 | PMCID:PMC5389897","pubmed","28209580","create date:2017/02/18 | first author:Ishaque M",
"Diffusion Tensor Imaging of White Matter in Children Born from Preeclamptic Gestations.","/pubmed/28126749","Figueiró-Filho EA, Croy BA, Reynolds JN, Dang F, Piro D, Rätsep MT, Forkert ND, Paolozza A, Smith GN, Stroman PW.","AJNR Am J Neuroradiol. 2017 Apr;38(4):801-806. doi: 10.3174/ajnr.A5064. Epub 2017 Jan 26.","AJNR Am J Neuroradiol.  2017","PubMed","citation","PMID:28126749","pubmed","28126749","create date:2017/01/28 | first author:Figueiró-Filho EA",
"Differences in Callosal and Forniceal Diffusion between Patients with and without Postconcussive Migraine.","/pubmed/28126745","Alhilali LM, Delic J, Fakhran S.","AJNR Am J Neuroradiol. 2017 Apr;38(4):691-695. doi: 10.3174/ajnr.A5073. Epub 2017 Jan 26.","AJNR Am J Neuroradiol.  2017","PubMed","citation","PMID:28126745","pubmed","28126745","create date:2017/01/28 | first author:Alhilali LM",
"Rewiring the primary somatosensory cortex in carpal tunnel syndrome with acupuncture.","/pubmed/28334999","Maeda Y, Kim H, Kettner N, Kim J, Cina S, Malatesta C, Gerber J, McManus C, Ong-Sutherland R, Mezzacappa P, Libby A, Mawla I, Morse LR, Kaptchuk TJ, Audette J, Napadow V.","Brain. 2017 Apr 1;140(4):914-927. doi: 10.1093/brain/awx015.","Brain.  2017","PubMed","citation","PMID:28334999 | PMCID:PMC5837382","pubmed","28334999","create date:2017/03/24 | first author:Maeda Y",
"Transcallosal connectivity of the human cortical motor network.","/pubmed/27469272","Ruddy KL, Leemans A, Carson RG.","Brain Struct Funct. 2017 Apr;222(3):1243-1252. doi: 10.1007/s00429-016-1274-1. Epub 2016 Jul 28.","Brain Struct Funct.  2017","PubMed","citation","PMID:27469272 | PMCID:PMC5368198","pubmed","27469272","create date:2016/07/30 | first author:Ruddy KL",
"Development of Tract-Specific White Matter Pathways During Early Reading Development in At-Risk Children and Typical Controls.","/pubmed/27114172","Wang Y, Mauer MV, Raney T, Peysakhovich B, Becker BLC, Sliva DD, Gaab N.","Cereb Cortex. 2017 Apr 1;27(4):2469-2485. doi: 10.1093/cercor/bhw095.","Cereb Cortex.  2017","PubMed","citation","PMID:27114172 | PMCID:PMC5964366","pubmed","27114172","create date:2016/04/27 | first author:Wang Y",
"Marked brain asymmetry with intact cognitive functioning in idiopathic Parkinson's disease: a longitudinal analysis.","/pubmed/27813459","Tanner JJ, Levy SA, Schwab NA, Hizel LP, Nguyen PT, Okun MS, Price CC.","Clin Neuropsychol. 2017 Apr;31(3):654-675. doi: 10.1080/13854046.2016.1251973. Epub 2016 Nov 4.","Clin Neuropsychol.  2017","PubMed","citation","PMID:27813459 | PMCID:PMC5334434","pubmed","27813459","create date:2016/11/05 | first author:Tanner JJ",
"Association between corpus callosum development on magnetic resonance imaging and diffusion tensor imaging, and neurodevelopmental outcome in neonates born very preterm.","/pubmed/27976377","Malavolti AM, Chau V, Brown-Lum M, Poskitt KJ, Brant R, Synnes A, Grunau RE, Miller SP.","Dev Med Child Neurol. 2017 Apr;59(4):433-440. doi: 10.1111/dmcn.13364. Epub 2016 Dec 14.","Dev Med Child Neurol.  2017","PubMed","citation","PMID:27976377","pubmed","27976377","create date:2016/12/16 | first author:Malavolti AM",
"Functional connectivity and microstructural white matter changes in phenocopy frontotemporal dementia.","/pubmed/27436017","Meijboom R, Steketee RM, de Koning I, Osse RJ, Jiskoot LC, de Jong FJ, van der Lugt A, van Swieten JC, Smits M.","Eur Radiol. 2017 Apr;27(4):1352-1360. doi: 10.1007/s00330-016-4490-4. Epub 2016 Jul 19.","Eur Radiol.  2017","PubMed","citation","PMID:27436017 | PMCID:PMC5334426","pubmed","27436017","create date:2016/07/21 | first author:Meijboom R",
"Surface-based vertexwise analysis of morphometry and microstructural integrity for white matter tracts in diffusion tensor imaging: With application to the corpus callosum in Alzheimer's disease.","/pubmed/28083895","Tang X, Qin Y, Zhu W, Miller MI.","Hum Brain Mapp. 2017 Apr;38(4):1875-1893. doi: 10.1002/hbm.23491. Epub 2017 Jan 13.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28083895 | PMCID:PMC5859584","pubmed","28083895","create date:2017/01/14 | first author:Tang X",
"Heritability of white matter microstructure in late middle age: A twin study of tract-based fractional anisotropy and absolute diffusivity indices.","/pubmed/28032374","Vuoksimaa E, Panizzon MS, Hagler DJ Jr, Hatton SN, Fennema-Notestine C, Rinker D, Eyler LT, Franz CE, Lyons MJ, Neale MC, Tsuang MT, Dale AM, Kremen WS.","Hum Brain Mapp. 2017 Apr;38(4):2026-2036. doi: 10.1002/hbm.23502. Epub 2016 Dec 29.","Hum Brain Mapp.  2017","PubMed","citation","PMID:28032374 | PMCID:PMC5342936","pubmed","28032374","create date:2016/12/30 | first author:Vuoksimaa E",
"Alterations of functional connectivity and intrinsic activity within the cingulate cortex of suicidal ideators.","/pubmed/28157550","Chase HW, Segreti AM, Keller TA, Cherkassky VL, Just MA, Pan LA, Brent DA.","J Affect Disord. 2017 Apr 1;212:78-85. doi: 10.1016/j.jad.2017.01.013. Epub 2017 Jan 15.","J Affect Disord.  2017","PubMed","citation","PMID:28157550 | PMCID:PMC5358995","pubmed","28157550","create date:2017/02/06 | first author:Chase HW",
